gers_id,name,brand_token,latitude,longitude,city,state,tier,matched_opis_id,matched_name,matched_geocode_precision,distance_mi,decision,reason
0246416f-59a3-4e35-859a-164962233046,Shell,,38.93466700,-121.09343100,Auburn,CA,tight,,,,,kept,no rooftop candidate found within the search radius; brand token is None so the city tier does not apply
0246b27d-7758-4251-9626-0f02808f9e5b,Shell,,34.06466070,-117.20913718,Redlands,CA,tight,,,,,kept,no rooftop candidate found within the search radius; brand token is None so the city tier does not apply
024dc644-888c-4b4c-8b58-a30b241f8176,Penny Pincher Canyonville,,42.93185509,-123.28075089,Canyonville,OR,tight,,,,,kept,no rooftop candidate found within the search radius; brand token is None so the city tier does not apply
02536a1e-9a76-4d8b-ab58-de853af2bb5f,Shell,,40.70689996,-122.33854700,Redding,CA,tight,,,,,kept,no rooftop candidate found within the search radius; brand token is None so the city tier does not apply
0256c8fe-1fb7-4e52-86d5-e6c7cceeaa31,Mobil,,34.42702457,-117.34632796,Hesperia,CA,tight,,,,,kept,no rooftop candidate found within the search radius; brand token is None so the city tier does not apply
025d0a7e-4ba8-4b64-8583-9d9eb122b21f,Deluxe Marble,,37.52787208,-122.03133336,Newark,CA,tight,,,,,kept,no rooftop candidate found within the search radius; brand token is None so the city tier does not apply
0263d724-daf2-456f-8ead-ca0b9bc6c7cd,Chevron,,34.50612752,-117.89697910,Pearblossom,CA,tight,,,,,kept,no rooftop candidate found within the search radius; brand token is None so the city tier does not apply
0269a321-d9bf-444d-a55e-3785ec49d883,ARCO,,33.85147497,-117.85729411,Anaheim,CA,tight,,,,,kept,no rooftop candidate found within the search radius; brand token is None so the city tier does not apply
026b76b9-22b3-4f09-b87e-f7304b180411,Gulf,,40.49174022,-121.89198158,Shingletown,CA,tight,,,,,kept,no rooftop candidate found within the search radius; brand token is None so the city tier does not apply
026fb64d-81c2-40b7-82a6-65d0f084f139,Mobil,,34.13376436,-118.25448854,Glendale,CA,tight,,,,,kept,no rooftop candidate found within the search radius; brand token is None so the city tier does not apply
0276fd94-63ce-4e20-95fa-e0be864de121,BP,,34.00544400,-118.22009700,Vernon,CA,tight,,,,,kept,no rooftop candidate found within the search radius; brand token is None so the city tier does not apply
0278a366-2299-47d1-8001-051830338397,Speedway,,37.96334036,-122.33828370,San Pablo,CA,tight,,,,,kept,no rooftop candidate found within the search radius; brand token is None so the city tier does not apply
028285a0-f0f6-4eb3-abec-942df7363118,Exxon & Mobil Stations,,33.83679401,-117.87123084,Anaheim,CA,tight,,,,,kept,no rooftop candidate found within the search radius; brand token is None so the city tier does not apply
028c5924-c199-4d8b-8d69-dd0f9d0701a8,Wendy Lou's Gas Station And Mini Mart,,40.38429293,-122.28143005,Cottonwood,CA,tight,,,,,kept,no rooftop candidate found within the search radius; brand token is None so the city tier does not apply
02a7b5b4-988c-4704-a752-f97d99696321,Flying J Travel Center,FLYING J,34.06362824,-117.49362714,Fontana,CA,city,,,,,kept,"no rooftop candidate found within the search radius; no city-tier match on brand, city and state"
02aa9573-32ef-481a-ae23-ebda02ef00ac,Hot Spot,,33.76070593,-116.95752682,San Jacinto,CA,tight,,,,,kept,no rooftop candidate found within the search radius; brand token is None so the city tier does not apply
02aaf9bc-8896-409a-bf69-840df9776c35,76,,34.05575100,-117.68978600,Montclair,CA,tight,,,,,kept,no rooftop candidate found within the search radius; brand token is None so the city tier does not apply
02ab360c-798a-43a0-973d-fbf53062d9c4,Red Bluff Gas,,40.18291336,-122.21928755,Red Bluff,CA,tight,,,,,kept,no rooftop candidate found within the search radius; brand token is None so the city tier does not apply
