opis_id,name,address,city,state,rack_id,retail_price,observation_count,price_min,price_max,latitude,longitude,geocode_precision,geocode_status
981,STINKER #85,"I-15, EXIT 93",Blackfoot,ID,825,3.53233333,1,3.53233333,3.53233333,43.19459500,-112.34681100,city,ok
982,CIRCLE K #2701948,"I-8, EXIT 7 & SR-195",Yuma,AZ,900,3.56566666,1,3.56566666,3.56566666,32.51628600,-114.52178200,city,ok
1028,FOUR STATES TRUCK STOP,"I-495, EXIT 4 & SR-9",New Castle,DE,243,3.39900000,2,3.39900000,3.44900000,39.67001700,-75.56651900,city,ok
1042,Union 76,US-441 & SR-100A,Lake City,FL,75,3.56233333,1,3.56233333,3.56233333,30.18863800,-82.64224600,city,ok
1043,SHELL DBA ONE9 #1401,I-75 EXIT 414  & US-41,Lake City,FL,75,3.24400000,2,3.24400000,3.25900000,30.18863800,-82.64224600,city,ok
1047,TA MARIANNA TRAVEL CENTER,"I-10/SR-8, EXIT 142 & SR-71",Marianna,FL,20,3.60733333,1,3.60733333,3.60733333,30.79445600,-85.22841000,city,ok
1075,PILOT TRAVEL CENTERS #68,"I-16 /SR-404, EXIT 51 & US-441",Dublin,GA,85,3.39900000,2,3.39900000,3.43233333,32.53547100,-82.92880700,city,ok
1106,CIRCLE K #2705367,"I-20, EXIT 172",Thomson,GA,16,3.39900000,1,3.39900000,3.39900000,33.46927000,-82.49511600,city,ok
1112,BC AMPRIDE TRUCK PLAZA,US-59/SR-141,Denison,IA,527,3.39900000,1,3.39900000,3.39900000,42.01588600,-95.35240400,city,ok
1115,KWIK STAR #704,SR-57/SR-14,Parkersburg,IA,565,3.58233333,1,3.58233333,3.58233333,42.57385100,-92.77845000,city,ok
1121,TRAVELERS OASIS,"I-84, EXIT 182",Eden,ID,787,3.79900000,1,3.79900000,3.79900000,42.60530900,-114.20908700,city,ok
1128,TA CHICAGO NORTH TRAVEL CENTER,"I-94/US-41, EXIT 1",Wadsworth,IL,444,3.77900000,4,3.76900000,3.87900000,42.45068700,-87.92514700,city,ok
1132,SPEEDWAY #7423,"I-57, EXIT 83",Ina,IL,293,3.24900000,1,3.24900000,3.24900000,38.14989200,-88.90401900,city,ok
